task_name,dataset_id,error_rate,method,n_raw,n_w,n_w_e1,n_w_e2,TP_e1,TP_e2,FP_e1,FP_e2,FN_e1,FN_e2,n_r2r,EDR_e1,Precision_e1,Recall_e1,F1_e1,EDR_e2,Precision_e2,Recall_e2,F1_e2
beers,8,14.999782863594909,bigdansing,26510,3461,3461,0,2859,0,2179,1208,602,0,19662,0.19647500722277816,0.5674870980536573,0.8260618318381218,0.67278502870392,-120800000000.0,0.0,0.0,0.0
beers,8,14.999782863594909,boostclean,26510,3461,3461,0,2625,0,2942,1863,836,0,18244,-0.09159202542591277,0.4715286509781363,0.758451314646754,0.5815241423687137,-186300000000.0,0.0,0.0,0.0
beers,8,14.999782863594909,holoclean,26510,3461,3461,0,1432,0,883,10778,2029,0,11388,0.15862467494897825,0.6185745140362049,0.41375325050443873,0.4958448705413706,-1077800000000.0,0.0,0.0,0.0
beers,8,14.999782863594909,horizon,26510,3461,3461,0,2873,0,2120,1139,588,0,19790,0.21756717711581172,0.5754055677937605,0.8301069055162378,0.6796782539749849,-113900000000.0,0.0,0.0,0.0
beers,8,14.999782863594909,scared,26510,3461,3461,0,1942,0,8253,248,1519,0,14548,-1.8234614273278722,0.19048553212340313,0.5611095059215224,0.284417102249381,-24800000000.0,0.0,0.0,0.0
beers,8,14.999782863594909,baran,26510,3461,3461,0,2696,0,1513,2886,765,0,18650,0.3418087258008038,0.6405321929184117,0.7789656168714852,0.7029986912647557,-288600000000.0,0.0,0.0,0.0
beers,8,14.999782863594909,Unified,26510,3461,3461,0,2568,0,2951,2095,893,0,18003,-0.11066165847988829,0.4653016850870352,0.7419820861001387,0.5719376344595526,-209500000000.0,0.0,0.0,0.0
beers,8,14.999782863594909,GroundTruth,26510,3461,3461,0,3461,0,0,0,0,0,23049,0.9999999999971106,0.9999999999971106,0.9999999999971106,0.9999999949971106,0.0,0.0,0.0,0.0
beers,9,4.9984800451643725,mode,26510,1205,0,1205,0,1109,1025,1103,0,96,23177,-102500000000.0,0.0,0.0,0.0,0.0049792531119918736,0.5013562386957443,0.9203319501998314,0.649107399586142
beers,9,4.9984800451643725,bigdansing,26510,1205,0,1205,0,1111,0,1167,0,94,24138,0.0,0.0,0.0,0.0,-0.04647302904525749,0.4877085162401769,0.921991701237162,0.6379557807134726
beers,9,4.9984800451643725,boostclean,26510,1205,0,1205,0,974,0,3420,0,231,21885,0.0,0.0,0.0,0.0,-2.029875518655354,0.22166590805593614,0.8082987551800142,0.34791926791923056
beers,9,4.9984800451643725,holoclean,26510,1205,0,1205,0,518,1001,11926,0,687,12378,-100100000000.0,0.0,0.0,0.0,-9.467219916933884,0.04162648666020441,0.4298755186686318,0.07590299494660029
beers,9,4.9984800451643725,horizon,26510,1205,0,1205,0,1094,0,1187,0,111,24118,0.0,0.0,0.0,0.0,-0.07717842323587404,0.4796142042942586,0.9078838174198517,0.627653466499729
beers,9,4.9984800451643725,scared,26510,1205,0,1205,0,1110,4,1120,0,95,24181,-400000000.0,0.0,0.0,0.0,-0.008298755186653123,0.49775784753140023,0.9211618257184967,0.6462882050484333
beers,9,4.9984800451643725,baran,26510,1205,0,1205,0,892,1657,3235,0,313,20413,-165700000000.0,0.0,0.0,0.0,-1.9443983402328266,0.21613763023935997,0.7402489626494586,0.3345836424118087
beers,9,4.9984800451643725,Unified,26510,1205,0,1205,0,981,2,3292,0,224,22011,-200000000.0,0.0,0.0,0.0,-1.9178423236355366,0.22958109056814982,0.8141078838106713,0.35815990894379945
beers,9,4.9984800451643725,GroundTruth,26510,1205,0,1205,0,1157,0,0,0,48,25305,0.0,0.0,0.0,0.0,0.9601659750957663,0.999999999991357,0.9601659750957663,0.979678233774464
beers,11,14.999782863594909,mode,26510,5544,2297,3247,1973,2728,1003,2451,324,519,17512,0.4222899434026022,0.6629704301052992,0.858946451890035,0.7483405981523242,0.08530951647648503,0.526742614403308,0.8401601478261775,0.647519577506764
beers,11,14.999782863594909,bigdansing,26510,5544,2297,3247,1921,2370,1401,1032,376,877,18533,0.22638223770036403,0.5782661047544303,0.8363082281199987,0.6837515523805325,0.41207268247486273,0.6966490299803155,0.7299045272536806,0.7128891512646728
beers,11,14.999782863594909,boostclean,26510,5544,2297,3247,1731,863,1767,982,566,2384,18217,-0.01567261645617905,0.49485420239995753,0.7535916412679426,0.5974115569038092,-0.03664921465957299,0.4677506775042399,0.2657838004303487,0.33896307471785375
beers,11,14.999782863594909,holoclean,26510,5544,2297,3247,955,2394,1011,11093,1342,853,8862,-0.024379625598500744,0.48575788402601344,0.4157596865458609,0.44804128050775077,-2.6790883892741637,0.17750426336458996,0.7372959655043508,0.28612405567437443
beers,11,14.999782863594909,horizon,26510,5544,2297,3247,1927,2661,1428,1365,370,586,18173,0.21723987810092626,0.5743666169878558,0.8389203308626952,0.6818825146349257,0.3991376655361899,0.6609538002964209,0.8195257160430566,0.7317475545218689
beers,11,14.999782863594909,scared,26510,5544,2297,3247,1828,2584,2497,1105,469,663,17364,-0.29124945581066064,0.422658959536595,0.7958206356082028,0.5520990591942544,0.4554973821975501,0.7004608294911888,0.7958115183221565,0.7450980342338425
beers,11,14.999782863594909,baran,26510,5544,2297,3247,1791,2734,1455,2755,506,513,16756,0.14627775359100445,0.5517560073920156,0.7797126686949077,0.6462204533798399,-0.00646750846933641,0.4980870832565165,0.8420080073888451,0.6259157462436363
beers,11,14.999782863594909,Unified,26510,5544,2297,3247,1733,867,1772,1000,564,2380,18194,-0.016978667827527303,0.49443651925679194,0.7544623421821748,0.5973802089340927,-0.04096088697246394,0.46438136046885714,0.2670157068054604,0.33906921710699384
beers,11,14.999782863594909,GroundTruth,26510,5544,2297,3247,2297,3177,0,0,0,70,20966,0.9999999999956466,0.9999999999956466,0.9999999999956466,0.9999999949956466,0.9784416384324656,0.9999999999968524,0.9784416384324656,0.9891033573885479
beers,12,19.998262908759283,mode,26510,4654,3449,1205,2541,854,1011,4949,908,351,15896,0.44360684256177557,0.7153716216196077,0.73673528558789,0.7258962955275046,-3.398340248934454,0.1471652593483592,0.7087136929401767,0.24372145833890307
beers,12,19.998262908759283,bigdansing,26510,4654,3449,1205,2548,856,1976,2993,901,349,16887,0.16584517251329126,0.5632183908033528,0.7387648593773883,0.6391571504887658,-1.7734439833877724,0.22239542738315823,0.7103734439775073,0.3387415871862422
beers,12,19.998262908759283,boostclean,26510,4654,3449,1205,2470,827,2788,2573,979,378,16495,-0.09220063786578081,0.4697603651569613,0.7161496085801213,0.5673595909421015,-1.4489626555896353,0.24323529411693168,0.6863070539362133,0.35917480612358615
beers,12,19.998262908759283,holoclean,26510,4654,3449,1205,1117,359,1090,12454,2332,846,8312,0.007828356045207804,0.5061169007679832,0.32386198898137475,0.39497877883234683,-10.037344398256952,0.02801841879339107,0.29792531120084714,0.051219858608263245
beers,12,19.998262908759283,horizon,26510,4654,3449,1205,2443,833,2014,3476,1006,372,16366,0.12438387938496845,0.5481265425161586,0.7083212525349135,0.6180116318113117,-2.1933609958324203,0.1933163146897347,0.6912863070482052,0.30214000383762096
beers,12,19.998262908759283,scared,26510,4654,3449,1205,2304,745,4313,2127,1145,460,15416,-0.5824876775860177,0.3481940456394919,0.6680197158577327,0.4577786563328089,-1.1468879667954617,0.25940111420522494,0.6182572614056576,0.36546479838501295
beers,12,19.998262908759283,baran,26510,4654,3449,1205,2735,888,1444,2744,714,317,17668,0.37431139460604723,0.6544627901396161,0.792983473468272,0.7170949085205772,-1.5402489626428197,0.2444933920698114,0.7369294605747974,0.3671697295630518
beers,12,19.998262908759283,Unified,26510,4654,3449,1205,2460,830,2849,2663,989,375,16344,-0.11278631487354948,0.46336409869944745,0.7132502174522666,0.5617720893096453,-1.5211618257135175,0.2376180933288359,0.6887966804922092,0.3533418437791387
beers,12,19.998262908759283,GroundTruth,26510,4654,3449,1205,3449,1143,0,0,0,62,21856,0.9999999999971007,0.9999999999971007,0.9999999999971007,0.9999999949971006,0.948547717834452,0.9999999999912512,0.948547717834452,0.9735945435471526
beers,13,10.001302818430538,mode,26510,2410,0,2410,0,2085,969,2082,0,325,21049,-96900000000.0,0.0,0.0,0.0,0.0012448132780031335,0.5003599712011031,0.8651452282121779,0.6340276675458677
beers,13,10.001302818430538,bigdansing,26510,2410,0,2410,0,2064,0,2206,0,346,21894,0.0,0.0,0.0,0.0,-0.058921161825481655,0.48337236533844646,0.8564315352661559,0.6179640672420902
beers,13,10.001302818430538,boostclean,26510,2410,0,2410,0,1852,0,4167,0,558,19933,0.0,0.0,0.0,0.0,-0.9605809128590848,0.3076923076917965,0.7684647302872678,0.43943527886729666
beers,13,10.001302818430538,holoclean,26510,2410,0,2410,0,982,940,11811,0,1428,11349,-94000000000.0,0.0,0.0,0.0,-4.493360995831978,0.07676072852335124,0.4074688796663591,0.12918502660252226
beers,13,10.001302818430538,horizon,26510,2410,0,2410,0,2088,0,1992,0,322,22108,0.0,0.0,0.0,0.0,0.03983402489610027,0.5117647058810987,0.866390041490181,0.6434514591195293
beers,13,10.001302818430538,scared,26510,2410,0,2410,0,2064,8,2313,0,346,21779,-800000000.0,0.0,0.0,0.0,-0.10331950207426009,0.4715558601771269,0.8564315352661559,0.6082215955360547
