task_name,num,dataset_id,error_rate,m,n,anomaly,missing,format,knowledge,cleaning_method,multi_wasserstein,outlier_ratio_rep,kl_numeric_avg,corr_avg,corr_max,cat_kl_avg
flights,15,4,4.987373737373738,7,2376,1.25,1.25,0.0,2.5,scared,,,,,,-0.007684676396528293
flights,15,4,4.987373737373738,7,2376,1.25,1.25,0.0,2.5,baran,,,,,,-0.012074137359690375
flights,15,4,4.987373737373738,7,2376,1.25,1.25,0.0,2.5,Unified,,,,,,-0.034586062280783834
flights,16,10,9.981762065095397,7,2376,2.5,2.5,0.0,5.0,mode,,,,,,-0.02839740949997761
flights,16,10,9.981762065095397,7,2376,2.5,2.5,0.0,5.0,bigdansing,,,,,,0.053574328702050034
flights,16,10,9.981762065095397,7,2376,2.5,2.5,0.0,5.0,boostclean,,,,,,0.0
flights,16,10,9.981762065095397,7,2376,2.5,2.5,0.0,5.0,holoclean,,,,,,-0.040929566506820815
flights,16,10,9.981762065095397,7,2376,2.5,2.5,0.0,5.0,horizon,,,,,,0.18044492631827647
flights,16,10,9.981762065095397,7,2376,2.5,2.5,0.0,5.0,scared,,,,,,0.000898786438336273
flights,16,10,9.981762065095397,7,2376,2.5,2.5,0.0,5.0,baran,,,,,,-0.0036394275867091858
flights,16,10,9.981762065095397,7,2376,2.5,2.5,0.0,5.0,Unified,,,,,,-0.06430496225422891
flights,17,16,4.713804713804714,7,2376,1.25,1.25,1.25,1.25,mode,,,,,,-0.014354862565513429
flights,17,16,4.713804713804714,7,2376,1.25,1.25,1.25,1.25,bigdansing,,,,,,0.03361469124978752
flights,17,16,4.713804713804714,7,2376,1.25,1.25,1.25,1.25,boostclean,,,,,,-0.00019340681302773154
flights,17,16,4.713804713804714,7,2376,1.25,1.25,1.25,1.25,holoclean,,,,,,-0.018360397811498477
flights,17,16,4.713804713804714,7,2376,1.25,1.25,1.25,1.25,horizon,,,,,,0.07743413658658818
flights,17,16,4.713804713804714,7,2376,1.25,1.25,1.25,1.25,scared,,,,,,-0.008851039666487733
flights,17,16,4.713804713804714,7,2376,1.25,1.25,1.25,1.25,baran,,,,,,-0.022320308171609154
flights,17,16,4.713804713804714,7,2376,1.25,1.25,1.25,1.25,Unified,,,,,,-0.03673477132625338
flights,18,5,9.224186307519641,7,2376,2.5,2.5,2.5,2.5,mode,,,,,,0.0061895741866255126
flights,18,5,9.224186307519641,7,2376,2.5,2.5,2.5,2.5,bigdansing,,,,,,0.050884922605093925
flights,18,5,9.224186307519641,7,2376,2.5,2.5,2.5,2.5,boostclean,,,,,,-0.0003438266213994601
flights,18,5,9.224186307519641,7,2376,2.5,2.5,2.5,2.5,holoclean,,,,,,-0.05205512232791548
flights,18,5,9.224186307519641,7,2376,2.5,2.5,2.5,2.5,horizon,,,,,,0.1716362272697188
flights,18,5,9.224186307519641,7,2376,2.5,2.5,2.5,2.5,scared,,,,,,-0.01945350420687818
flights,18,5,9.224186307519641,7,2376,2.5,2.5,2.5,2.5,baran,,,,,,-0.05048628083471723
flights,18,5,9.224186307519641,7,2376,2.5,2.5,2.5,2.5,Unified,,,,,,-0.06987660283572143
