task_name,num,dataset_id,error_rate,m,n,anomaly,missing,format,knowledge,cleaning_method,multi_wasserstein,outlier_ratio_rep,mean_col1,var_col1,normal_p_col1,mean_col2,var_col2,normal_p_col2,mean_col3,var_col3,normal_p_col3,mean_col4,var_col4,normal_p_col4,kl_numeric_avg,corr_avg,corr_max,cat_kl_avg
beers,7,50,8.651452282157676,11,2410,0.0,2.5,2.5,0.0,baran,4.249018415870372,0.34516765285996054,0.07378367705133831,0.4478260747817324,0.0,43.15430711610487,762.6028581215011,6.341050520849742e-31,1433.4163407214255,568514.0257154735,1.5606466203256754e-24,13.473835358190197,3.9429601476512026,0.0,0.005162668431642925,0.09125292839129927,0.33293451477231023,-0.010239755595113526
beers,7,50,8.651452282157676,11,2410,0.0,2.5,2.5,0.0,Unified,0.0,0.2505353319057816,0.07423076923076923,0.4591012171986429,0.0,43.15430711610487,762.6028581215011,6.341050520849742e-31,1432.9938917975567,567472.9742097273,3.534608431687169e-24,13.588360262008734,5.42248919518735,0.0,0.0,0.11920950180091612,0.4232247454058702,-0.013895820974426553
beers,8,47,12.892116182572613,11,2410,0.0,5.0,5.0,0.0,mode,37.88226151332962,0.245,0.05837468879668051,0.00016672007306625054,1.1468546800707432e-36,20.0,0.0,1.0,4.0,0.0,1.0,11.995039419087137,0.059303744813278034,0.0,-0.19703125215923395,0.013217412771216235,0.013217412771216235,-0.026300699940965903
beers,8,47,12.892116182572613,11,2410,0.0,5.0,5.0,0.0,bigdansing,0.0,0.21518987341772153,0.05961095238095239,0.00017945552553370086,8.768473758422072e-29,42.8472553699284,750.5737842603712,1.3900345771072477e-30,1429.200092208391,565191.1555165966,1.5513588678504426e-23,13.575352402745994,5.389679775022841,0.0,0.0,0.17147707149791155,0.67132898646769,0.011663501354832342
beers,8,47,12.892116182572613,11,2410,0.0,5.0,5.0,0.0,boostclean,0.0,0.23291139240506328,0.059610952380952376,0.00017945552553370086,8.768473758422072e-29,42.8472553699284,750.5737842603712,1.3900345771072477e-30,1429.200092208391,565191.1555165966,1.5513588678504426e-23,13.575352402745994,5.389679775022841,0.0,0.0,0.17301733668016223,0.6713289864676901,-7.407254815409455e-05
beers,8,47,12.892116182572613,11,2410,0.0,5.0,5.0,0.0,holoclean,11.715407025276761,0.08661417322834646,0.07827790611168248,0.4284859440704699,0.0,48.669411920499236,2188.6378535472677,0.0,1558.0150791231072,1572832.5001774912,0.0,14.71926688923476,67.06054205117684,0.0,0.015947718620144113,0.05056564543690437,0.1524638598072711,0.0031344652209295987
beers,8,47,12.892116182572613,11,2410,0.0,5.0,5.0,0.0,horizon,0.0,0.21518987341772153,0.05961095238095239,0.00017945552553370086,8.768473758422072e-29,42.8472553699284,750.5737842603712,1.3900345771072477e-30,1429.200092208391,565191.1555165966,1.5513588678504426e-23,13.575352402745994,5.389679775022841,0.0,0.0,0.17147707149791155,0.67132898646769,0.0014854823019830813
beers,8,47,12.892116182572613,11,2410,0.0,5.0,5.0,0.0,scared,3.7394850127010204,0.22797927461139897,0.059426103646833026,0.00017356774842132132,2.1038670934316587e-28,42.98814229249012,744.1841947265722,1.9412822767671672e-30,1438.3537956888472,565637.6652059329,1.644573196766254e-23,13.560413430790314,5.352832564371634,0.0,0.00022226733449195148,0.177625948858444,0.6700786266016535,-0.0008207998224139027
beers,8,47,12.892116182572613,11,2410,0.0,5.0,5.0,0.0,baran,4.258540934226745,0.3194103194103194,0.05954162768942938,0.00017973645069519923,2.7667142218354813e-29,44.42200328407225,857.5571818504411,1.231374413524502e-31,1431.8920896204847,559189.8209209288,2.047716144758383e-23,14.047073474470736,8.241313068104242,0.0,0.05064755757152102,0.2595181899163887,0.6888890036809555,-0.024497367667759434
beers,8,47,12.892116182572613,11,2410,0.0,5.0,5.0,0.0,Unified,0.0,0.25063291139240507,0.05961095238095239,0.00017945552553370086,8.768473758422072e-29,42.8472553699284,750.5737842603712,1.3900345771072477e-30,1429.200092208391,565191.1555165966,1.5513588678504426e-23,13.575352402745994,5.389679775022841,0.0,0.0,0.16777546172784197,0.67132898646769,-0.03008905241128641
