task_name,num,dataset_id,error_rate,m,n,anomaly,missing,format,knowledge,cleaning_method,multi_wasserstein,outlier_ratio_rep,mean_col1,var_col1,normal_p_col1,mean_col2,var_col2,normal_p_col2,mean_col3,var_col3,normal_p_col3,kl_numeric_avg,corr_avg,corr_max,cat_kl_avg
hospital,7,28,4.163157894736842,20,1000,0.0,2.5,2.5,0.0,holoclean,3397.6998616676924,0.324,2882318541.4,1.041142739110447e+18,1.401298464324817e-45,10233.445,1956218.2812562564,0.0,37182.302,79611613.64844444,0.0,3.3320523941111653e-05,0.9172764669090845,0.9980752877730557,0.017698303298750554
hospital,7,28,4.163157894736842,20,1000,0.0,2.5,2.5,0.0,horizon,4498.805433738521,0.3535135135135135,2875145167.608,1.0321778276378413e+18,0.0,10244.22655426765,2059142.1332181776,0.0,37192.576844262294,81573761.45665301,0.0,0.0002804614874489264,0.921582668459223,0.9981597665287205,-0.018498134380356118
hospital,7,28,4.163157894736842,20,1000,0.0,2.5,2.5,0.0,scared,2088.6315618860012,0.28162291169451076,2878162188.7945495,9.970947609924881e+17,7.006492321624085e-45,10223.891005291005,1865006.7539973997,0.0,37132.52201933405,77029321.41107377,0.0,6.137914993771242e-05,0.9177846490755636,0.9980863162245016,-0.0015712509602380377
hospital,7,28,4.163157894736842,20,1000,0.0,2.5,2.5,0.0,baran,2740.33981897488,0.3397642015005359,2890215387.399378,1.0661685864240307e+18,2.802596928649634e-45,10233.368,1956225.4900660664,0.0,37220.239422084625,82106423.07071704,0.0,4.278307560109314e-05,0.9213034754484974,0.9981358938507223,-0.014535843531710342
hospital,7,28,4.163157894736842,20,1000,0.0,2.5,2.5,0.0,Unified,0.0,0.34269005847953216,2879549178.1081934,9.971594866513371e+17,7.006492321624085e-45,10244.22655426765,2059142.1332181776,0.0,37247.65542676501,83796253.9201736,0.0,0.0,0.9173951242176734,0.9982292656689838,0.0
hospital,8,20,8.473684210526315,20,1000,0.0,5.0,5.0,0.0,mode,22832.090518399462,1.0,2562651000.0,0.0,1.0,10039.0,0.0,1.0,35233.0,0.0,1.0,-0.11509702212910822,,,-0.04792295588719983
hospital,8,20,8.473684210526315,20,1000,0.0,5.0,5.0,0.0,bigdansing,12892.096771767248,0.21421215242018538,2714519429.9888663,1.3926963460023703e+18,1.0116674263193017e-40,9269.485485485486,10294641.883306153,0.0,35249.942014242115,139597816.17076862,0.0,0.06876125735078015,0.3335479003750124,0.48469775550392963,-0.001339998653795478
hospital,8,20,8.473684210526315,20,1000,0.0,5.0,5.0,0.0,boostclean,0.0,0.255524861878453,2868404850.836848,9.570942055277082e+17,8.547920632381384e-44,10211.65551839465,1748864.8823160531,0.0,37045.25055432373,70790954.40330158,0.0,0.0,0.8987827731937553,0.9977575012731928,0.0
hospital,8,20,8.473684210526315,20,1000,0.0,5.0,5.0,0.0,holoclean,5976.032096240932,0.299,2882318541.4,1.041142739110447e+18,1.401298464324817e-45,10213.503,1764223.0930840839,0.0,37182.302,79611613.64844444,0.0,9.185632084397645e-05,0.8847831511186636,0.9459162074694054,-0.025409706578272448
hospital,8,20,8.473684210526315,20,1000,0.0,5.0,5.0,0.0,horizon,7774.867311399262,0.31675392670157065,2906201898.804,8.843579517381992e+17,2.802596928649634e-45,10211.65551839465,1748864.8823160531,0.0,37122.60668973472,73503717.73080969,0.0,0.0017435082035066058,0.9080272140909803,0.9983295751992275,0.009176637297242978
hospital,8,20,8.473684210526315,20,1000,0.0,5.0,5.0,0.0,scared,7561.489311674931,0.2540192926045016,2843079198.33869,5.4949006692241306e+17,7.295229870198214e-40,10111.609819121448,769419.7100587754,1.801440642111233e-39,36248.34701986755,16253295.110186731,0.0,0.008372967776565632,0.8161725630749691,0.9953324683924054,0.02178032571756993
hospital,8,20,8.473684210526315,20,1000,0.0,5.0,5.0,0.0,baran,8272.176175705888,0.2823960880195599,2894515240.068421,1.082963885190586e+18,5.605193857299268e-45,10249.507027027026,2111497.126844507,0.0,37281.356223175964,85265385.63451548,0.0,0.0003590787975191161,0.9243490075151904,0.99835583697583,-0.05546262586960471
hospital,8,20,8.473684210526315,20,1000,0.0,5.0,5.0,0.0,Unified,0.0,0.255524861878453,2868404850.836848,9.570942055277082e+17,8.547920632381384e-44,10211.65551839465,1748864.8823160531,0.0,37045.25055432373,70790954.40330158,0.0,0.0,0.8987827731937553,0.9977575012731928,0.0
hospital,9,31,4.978947368421053,20,1000,0.0,2.5,0.0,2.5,mode,23152.643640266524,1.0,2562358900.0,0.0,1.0,10038.0,0.0,1.0,35233.0,0.0,1.0,-0.11568669492488226,,,-0.02558971285306961
hospital,9,31,4.978947368421053,20,1000,0.0,2.5,0.0,2.5,bigdansing,11688.723558997834,0.17258883248730963,2734344727.231695,1.3390981302614825e+18,3.0622575340890227e-41,9781.719438877755,6480589.050594671,0.0,35664.281818181815,124649694.40684807,0.0,0.045605560830121995,0.40174629516686294,0.45905309206516787,0.002236521167734189
hospital,9,31,4.978947368421053,20,1000,0.0,2.5,0.0,2.5,boostclean,0.0,0.34498834498834496,2871182114.2350473,1.0010851744804136e+18,7.006492321624085e-45,10233.983104540655,1962434.0779383436,0.0,37114.31578947369,75522160.77899173,0.0,0.0,0.9109249579405109,0.9979274840547455,0.0
hospital,9,31,4.978947368421053,20,1000,0.0,2.5,0.0,2.5,holoclean,9917.387687269405,0.095,2965876779.15863,2.075119064282121e+18,0.0,10471.324694261746,12002566.943340331,0.0,38029.052339055204,201717352.947179,0.0,0.006715308972167745,0.39770893868001944,0.5049149204073929,-0.01864793155925909
hospital,9,31,4.978947368421053,20,1000,0.0,2.5,0.0,2.5,horizon,4376.269645570659,0.3150105708245243,2842464893.7457457,1.0236872309498473e+18,1.401298464324817e-45,10233.983104540655,1962434.0779383436,0.0,37082.661,75823045.08516417,0.0,0.00015517142237796456,0.9149707120942453,0.9980376607833781,0.0323339057591419
hospital,9,31,4.978947368421053,20,1000,0.0,2.5,0.0,2.5,scared,6995.8944933292405,0.16203703703703703,2815706619.0219893,6.736580870313545e+17,1.2891945871788317e-43,10096.477296726505,629002.7402345451,0.0,36315.18697478992,25610962.15427812,0.0,0.006867639551407845,0.6957510032076016,0.9069466097082735,0.0012496269535897668
hospital,9,31,4.978947368421053,20,1000,0.0,2.5,0.0,2.5,baran,5316.649387218806,0.2912513842746401,2881753465.577915,1.0690043103812673e+18,2.802596928649634e-45,10240.628630705394,2027874.5452230452,0.0,37234.32294911734,82589607.39767441,0.0,5.810407439531417e-05,0.9211875738693794,0.9982016679444792,-0.026418145202061545
hospital,9,31,4.978947368421053,20,1000,0.0,2.5,0.0,2.5,Unified,0.0,0.34498834498834496,2871182114.2350473,1.0010851744804136e+18,7.006492321624085e-45,10233.983104540655,1962434.0779383436,0.0,37114.31578947369,75522160.77899173,0.0,0.0,0.9109249579405109,0.9979274840547455,0.0
hospital,10,27,9.963157894736842,20,1000,0.0,5.0,0.0,5.0,mode,23329.065128986724,1.0,2562358900.0,0.0,1.0,10032.0,0.0,1.0,35233.0,0.0,1.0,-0.11620711422735534,,,-0.047193453908137735
hospital,10,27,9.963157894736842,20,1000,0.0,5.0,0.0,5.0,bigdansing,13868.767310193163,0.24563206577595068,2686556384.021212,1.541663048194476e+18,5.3896181015475384e-40,9349.018036072144,10014963.56035642,0.0,34717.8538071066,170145566.33836204,0.0,0.07839729381504788,0.33835276630823113,0.4720674068255714,0.007015657593161206
hospital,10,27,9.963157894736842,20,1000,0.0,5.0,0.0,5.0,boostclean,0.0,0.33104395604395603,2881320085.93566,1.0255520887883195e+18,2.6624670822171524e-44,10213.863738738739,1766170.8145573707,0.0,37268.01787709497,84372275.20773375,0.0,0.0,0.9152749601040497,0.997928062714356,1.725389731365779e-06
hospital,10,27,9.963157894736842,20,1000,0.0,5.0,0.0,5.0,holoclean,2435.7061947057205,0.324,2882318541.4,1.041142739110447e+18,1.401298464324817e-45,10233.445,1956218.2812562564,0.0,37182.302,79611613.64844444,0.0,4.8312517769783145e-05,0.9172764669090845,0.9980752877730557,-0.033451931644066395
hospital,10,27,9.963157894736842,20,1000,0.0,5.0,0.0,5.0,horizon,12638.037011533514,0.3281990521327014,2729778654.288,2.9194875220204243e+17,2.0814841650698957e-36,10213.863738738739,1766170.8145573707,0.0,35895.06171548117,4492465.431789305,0.0,0.029068146702643304,0.3404808231423367,0.5454969367115592,0.1700191581840608
hospital,10,27,9.963157894736842,20,1000,0.0,5.0,0.0,5.0,scared,8967.04139912829,0.2331511839708561,2811330747.340659,6.070009470842636e+17,2.8096034209712582e-42,10109.959337349397,746695.6589775392,0.0,36427.31392694064,32339649.237337247,0.0,0.005960530840661635,0.8239584219301866,0.9951677855400622,0.001568139903060903
hospital,10,27,9.963157894736842,20,1000,0.0,5.0,0.0,5.0,baran,5659.525301838746,0.3132678132678133,2886792336.5470085,1.048379578688374e+18,9.80908925027372e-45,10238.693304535636,2005964.1371875547,0.0,37279.13612004287,85175827.99539995,0.0,5.9185985162284226e-05,0.924035410366332,0.9982676814064615,-0.05407492123281751
hospital,10,27,9.963157894736842,20,1000,0.0,5.0,0.0,5.0,Unified,0.0,0.33104395604395603,2881320085.93566,1.0255520887883195e+18,2.6624670822171524e-44,10213.863738738739,1766170.8145573707,0.0,37268.01787709497,84372275.20773375,0.0,0.0,0.9152749601040497,0.997928062714356,0.0
hospital,11,25,4.526315789473685,20,1000,0.0,2.5,1.25,1.25,mode,23612.522744747454,1.0,2562651000.0,0.0,1.0,10039.0,0.0,1.0,35233.0,0.0,1.0,-0.11703215372898773,,,-0.033652037339344215
hospital,11,25,4.526315789473685,20,1000,0.0,2.5,1.25,1.25,bigdansing,10205.809533037627,0.1494949494949495,2794574421.1501503,1.2368685552690624e+18,1.279385497928558e-42,9771.71971971972,6569768.921364249,0.0,36249.362260343085,115709240.43530156,0.0,0.03476904087508085,0.5072087253539443,0.6398663290324774,0.0013916238744182928
hospital,11,25,4.526315789473685,20,1000,0.0,2.5,1.25,1.25,boostclean,0.0,0.30921820303383896,2889642408.339979,1.0801436623363653e+18,5.605193857299268e-45,10233.465263157896,1956321.3870955573,0.0,37191.00105596621,79844415.21035829,0.0,0.0,0.9203152758914017,0.9981245265619678,0.0
hospital,11,25,4.526315789473685,20,1000,0.0,2.5,1.25,1.25,holoclean,4387.676936978441,0.324,2882318541.4,1.041142739110447e+18,1.401298464324817e-45,10233.445,1956218.2812562564,0.0,37182.302,79611613.64844444,0.0,1.3314688522616567e-05,0.9172764669090845,0.9980752877730557,-0.017957770507034555
hospital,11,25,4.526315789473685,20,1000,0.0,2.5,1.25,1.25,horizon,5985.251471833106,0.3052391799544419,2877187921.771,9.912276458146694e+17,0.0,10233.465263157896,1956321.3870955573,0.0,37055.17995689655,73083238.73672837,0.0,0.00018370525270117164,0.9159391548826771,0.9980596707469257,0.05387593319761597
hospital,11,25,4.526315789473685,20,1000,0.0,2.5,1.25,1.25,scared,879.035811924766,0.3352735739231665,2890121265.942348,1.0792264945776086e+18,5.605193857299268e-45,10233.25341745531,1954304.780975151,0.0,37190.55015839493,79845989.8523969,0.0,2.9092675147079493e-07,0.9201360051820017,0.9981214112077785,-0.0006766511566857611
hospital,11,25,4.526315789473685,20,1000,0.0,2.5,1.25,1.25,baran,2563.272282517199,0.31158605174353204,2889642408.339979,1.0801436623363653e+18,5.605193857299268e-45,10231.377731529657,1934304.2686285984,0.0,37222.01956745623,81929110.49136929,0.0,2.824795841561609e-06,0.9205139280042203,0.9981232940942752,-0.02522835132945071
hospital,11,25,4.526315789473685,20,1000,0.0,2.5,1.25,1.25,Unified,0.0,0.30921820303383896,2889642408.339979,1.0801436623363653e+18,5.605193857299268e-45,10233.465263157896,1956321.3870955573,0.0,37191.00105596621,79844415.21035829,0.0,0.0,0.9203152758914017,0.9981245265619678,-4.332169878499658e-05
hospital,12,29,9.126315789473685,20,1000,0.0,5.0,2.5,2.5,mode,22900.09507812083,1.0,2562358900.0,0.0,1.0,10046.0,0.0,1.0,35233.0,0.0,1.0,-0.11746764539459374,,,-0.05059694176239225
hospital,12,29,9.126315789473685,20,1000,0.0,5.0,2.5,2.5,bigdansing,8979.997040710576,0.20309278350515464,2795323506.8277607,1.1382155777423785e+18,1.6507295909746345e-42,9228.698396793587,10846394.33923514,0.0,35132.10862944162,149811008.99123645,0.0,0.06220597355555115,0.357450750069662,0.5399425108845655,0.0002069008282482212
hospital,12,29,9.126315789473685,20,1000,0.0,5.0,2.5,2.5,boostclean,0.0,0.38068965517241377,2878357022.147982,9.624413090947999e+17,1.2471556332490872e-43,10231.120746432493,1933227.1018877942,0.0,37117.734671125974,75543915.27996846,0.0,0.0,0.9047776386977974,0.9978924712833923,-0.0003092998011330452
hospital,12,29,9.126315789473685,20,1000,0.0,5.0,2.5,2.5,holoclean,5717.431331067541,0.324,2882318541.4,1.041142739110447e+18,1.401298464324817e-45,10233.445,1956218.2812562564,0.0,37182.302,79611613.64844444,0.0,0.00012067315131990177,0.9172764669090845,0.9980752877730557,-0.029693590510456294
hospital,12,29,9.126315789473685,20,1000,0.0,5.0,2.5,2.5,horizon,7086.335853768155,0.3841743119266055,2804992860.792,9.931002953924951e+17,1.401298464324817e-45,10231.120746432493,1933227.1018877942,0.0,37017.75858480749,74883146.491658,0.0,0.0018164343071839228,0.9149558171589738,0.9981650762489497,0.10486332253923854
hospital,12,29,9.126315789473685,20,1000,0.0,5.0,2.5,2.5,scared,3403.6708640603592,0.3540197461212976,2877955685.6785316,9.567685970489322e+17,9.388699710976274e-44,10216.750286368842,1796036.7059202157,0.0,37051.233519553076,71340278.68478124,0.0,2.9468919180372383e-05,0.8941531647596536,0.9614175207279674,-0.006392982869724622
