task_name,num,dataset_id,error_rate,m,n,anomaly,missing,format,knowledge,cleaning_method,cluster_method,parameters,Silhouette Score,Davies-Bouldin Score,Combined Score
flights,3,12,14.997194163860831,7,2376,0.0,15.0,,,boostclean,HC,"k=23, linkage=single, metric=euclidean",0.23480232413746616,0.599838117148233,0.9509593933747292
flights,3,12,14.997194163860831,7,2376,0.0,15.0,,,boostclean,KMEANS,k=27,0.34957757175557297,0.9095173918526468,0.7245308847963372
flights,3,12,14.997194163860831,7,2376,0.0,15.0,,,boostclean,KMEANSPPS,k=8,0.3243957389237897,1.013202688774304,0.6556825448774943
flights,3,12,14.997194163860831,7,2376,0.0,15.0,,,holoclean,KMEANSNF,k=28,0.3658910883792871,0.9313943952751569,0.7197750575906638
flights,3,12,14.997194163860831,7,2376,0.0,15.0,,,holoclean,GMM,"n_components=27, covariance type=tied",0.36331690980601616,0.9296990906712097,0.7194668759470879
flights,3,12,14.997194163860831,7,2376,0.0,15.0,,,holoclean,HC,"k=47, linkage=single, metric=euclidean",0.3001014037100708,0.5529343990490435,1.0543171046325042
flights,3,12,14.997194163860831,7,2376,0.0,15.0,,,holoclean,KMEANS,k=41,0.43728198254331835,0.8528381413357541,0.8049187100623281
flights,3,12,14.997194163860831,7,2376,0.0,15.0,,,holoclean,KMEANSPPS,k=46,0.3732628553771659,0.9703719157135439,0.7018977826843733
flights,3,12,14.997194163860831,7,2376,0.0,15.0,,,horizon,KMEANSNF,k=8,0.3101355581928994,0.7215502519368453,0.8480202084772979
flights,3,12,14.997194163860831,7,2376,0.0,15.0,,,horizon,GMM,"n_components=6, covariance type=full",0.41614956003603243,0.610071316936626,1.0276510920312882
flights,3,12,14.997194163860831,7,2376,0.0,15.0,,,horizon,HC,"k=5, linkage=average, metric=manhattan",0.6595125847488776,0.3943113792042455,1.5977896953389772
flights,3,12,14.997194163860831,7,2376,0.0,15.0,,,horizon,KMEANS,k=39,0.3455235512003048,0.9727619647113315,0.6867621355426545
flights,3,12,14.997194163860831,7,2376,0.0,15.0,,,horizon,KMEANSPPS,k=9,0.3314705343416142,0.8103882898200744,0.7827234520704334
flights,3,12,14.997194163860831,7,2376,0.0,15.0,,,scared,KMEANSNF,k=15,0.317346338972065,1.0902382054968927,0.6172885413185738
flights,3,12,14.997194163860831,7,2376,0.0,15.0,,,scared,GMM,"n_components=13, covariance type=spherical",0.3310545019802459,1.027814262956321,0.6519964682608007
flights,3,12,14.997194163860831,7,2376,0.0,15.0,,,scared,HC,"k=5, linkage=single, metric=euclidean",0.2842855999195883,0.6525840629899331,0.9083276156127519
flights,3,12,14.997194163860831,7,2376,0.0,15.0,,,scared,KMEANS,k=15,0.31621047961063703,1.1084413700996492,0.6091890891523073
flights,3,12,14.997194163860831,7,2376,0.0,15.0,,,scared,KMEANSPPS,k=15,0.2817747393046917,1.1890627612510916,0.5613866202334649
flights,3,12,14.997194163860831,7,2376,0.0,15.0,,,baran,KMEANSNF,k=31,0.3522559258798774,0.9522421958000574,0.701204463650883
flights,3,12,14.997194163860831,7,2376,0.0,15.0,,,baran,GMM,"n_components=32, covariance type=spherical",0.38946936808578114,0.8861082149365949,0.7589998511768814
flights,3,12,14.997194163860831,7,2376,0.0,15.0,,,baran,HC,"k=41, linkage=average, metric=euclidean",0.38448812103366653,0.635850655058083,0.9785922320923215
flights,3,12,14.997194163860831,7,2376,0.0,15.0,,,baran,KMEANS,k=43,0.40815355160370587,0.869812587776653,0.7789132486540806
flights,3,12,14.997194163860831,7,2376,0.0,15.0,,,baran,KMEANSPPS,k=44,0.3268013600284959,1.0279474117381178,0.6498068855170847
flights,3,12,14.997194163860831,7,2376,0.0,15.0,,,Unified,KMEANSNF,k=14,0.2341888689854759,1.335885092374799,0.4913781231527794
flights,3,12,14.997194163860831,7,2376,0.0,15.0,,,Unified,GMM,"n_components=23, covariance type=spherical",0.30480977723815006,1.022822758579644,0.6412481371740166
