task_name,num,dataset_id,error_rate,m,n,anomaly,missing,format,knowledge,cleaning_method,cluster_method,parameters,Silhouette Score,Davies-Bouldin Score,Combined Score
rayyan,4,46,18.736363636363638,12,1000,5.0,0.0,,,horizon,HC,"k=6, linkage=single, metric=manhattan",0.6890331276660957,0.17373133482316414,3.222523576839279
rayyan,4,46,18.736363636363638,12,1000,5.0,0.0,,,horizon,KMEANS,k=19,0.59119354300535,0.5861651935506369,1.1485986308783573
rayyan,4,46,18.736363636363638,12,1000,5.0,0.0,,,horizon,KMEANSPPS,k=18,0.4652541366786891,1.0368957673934516,0.7148356140033894
rayyan,4,46,18.736363636363638,12,1000,5.0,0.0,,,scared,KMEANSNF,k=10,0.4617841531351438,0.6968375791092007,0.9484193956871475
rayyan,4,46,18.736363636363638,12,1000,5.0,0.0,,,scared,GMM,"n_components=7, covariance type=tied",0.5066584793435067,0.5198937145618346,1.2150642751133705
rayyan,4,46,18.736363636363638,12,1000,5.0,0.0,,,scared,HC,"k=6, linkage=single, metric=manhattan",0.7011762593800035,0.19229587196867293,2.9507479504970515
rayyan,4,46,18.736363636363638,12,1000,5.0,0.0,,,scared,KMEANS,k=20,0.5906558090134907,0.639056337493809,1.0777315372769842
rayyan,4,46,18.736363636363638,12,1000,5.0,0.0,,,scared,KMEANSPPS,k=10,0.5897626348276412,0.8882058157243641,0.8578139070774358
rayyan,4,46,18.736363636363638,12,1000,5.0,0.0,,,baran,KMEANSNF,k=11,0.6244440404735065,0.7461612600959427,0.9823184548006558
rayyan,4,46,18.736363636363638,12,1000,5.0,0.0,,,baran,GMM,"n_components=10, covariance type=tied",0.624298764635034,0.5835029084892065,1.1690431402159815
rayyan,4,46,18.736363636363638,12,1000,5.0,0.0,,,baran,HC,"k=6, linkage=single, metric=manhattan",0.6356327683065144,0.2714364320885681,2.159868300886575
rayyan,4,46,18.736363636363638,12,1000,5.0,0.0,,,baran,KMEANS,k=18,0.6259155977850949,0.6415988465393873,1.092260945550099
rayyan,4,46,18.736363636363638,12,1000,5.0,0.0,,,baran,KMEANSPPS,k=18,0.5972541294858495,0.7278400031872345,0.9855912296836866
rayyan,4,46,18.736363636363638,12,1000,5.0,0.0,,,Unified,KMEANSNF,k=9,0.5803385619683787,0.5781214424341798,1.1550394679379035
rayyan,4,46,18.736363636363638,12,1000,5.0,0.0,,,Unified,GMM,"n_components=10, covariance type=tied",0.5872853812454459,0.5254775099844229,1.245158198897895
rayyan,4,46,18.736363636363638,12,1000,5.0,0.0,,,Unified,HC,"k=17, linkage=single, metric=euclidean",0.514354813932198,0.2761250161388368,2.067951407061034
rayyan,4,46,18.736363636363638,12,1000,5.0,0.0,,,Unified,KMEANS,k=17,0.5765991403664088,0.6391597909905268,1.0705765642117768
rayyan,4,46,18.736363636363638,12,1000,5.0,0.0,,,Unified,KMEANSPPS,k=13,0.561161771457271,0.7198973568047718,0.9751243442839285
