task_name,num,dataset_id,error_rate,m,n,anomaly,missing,format,knowledge,cleaning_method,cluster_method,parameters,Silhouette Score,Davies-Bouldin Score,Combined Score
beers,9,30,18.821576763485474,11,2410,10.0,5.0,,,holoclean,HC,"k=16, linkage=single, metric=euclidean",0.555615562723741,0.28562984753958326,2.0283251180723094
beers,9,30,18.821576763485474,11,2410,10.0,5.0,,,holoclean,KMEANS,k=46,0.21001837341739651,1.2851664611252211,0.4940638462601368
beers,9,30,18.821576763485474,11,2410,10.0,5.0,,,holoclean,KMEANSPPS,k=10,0.26083402784857745,1.0641338176843467,0.6002827316476913
beers,9,30,18.821576763485474,11,2410,10.0,5.0,,,horizon,KMEANSNF,k=9,0.24972335759172332,1.196249075270226,0.542834833665012
beers,9,30,18.821576763485474,11,2410,10.0,5.0,,,horizon,GMM,"n_components=13, covariance type=spherical",0.22040350392802566,1.231310988234568,0.5162730083546434
beers,9,30,18.821576763485474,11,2410,10.0,5.0,,,horizon,HC,"k=6, linkage=single, metric=euclidean",0.5330592161028458,0.2694956070709578,2.121847419849189
beers,9,30,18.821576763485474,11,2410,10.0,5.0,,,horizon,KMEANS,k=31,0.26207854374716816,1.1522893401476948,0.5649580651654776
beers,9,30,18.821576763485474,11,2410,10.0,5.0,,,horizon,KMEANSPPS,k=9,0.21590245442102807,1.2556938892713112,0.5061374446254556
beers,9,30,18.821576763485474,11,2410,10.0,5.0,,,scared,KMEANSNF,k=6,0.3017589307150659,1.286030712459388,0.5396726684714824
beers,9,30,18.821576763485474,11,2410,10.0,5.0,,,scared,GMM,"n_components=9, covariance type=tied",0.2837982788099994,0.9189329057265285,0.6860085046090774
beers,9,30,18.821576763485474,11,2410,10.0,5.0,,,scared,HC,"k=5, linkage=single, metric=manhattan",0.5382983740344959,0.25437914995352584,2.234719085695454
beers,9,30,18.821576763485474,11,2410,10.0,5.0,,,scared,KMEANS,k=31,0.21292389257715522,1.237490245117036,0.5105055352970004
beers,9,30,18.821576763485474,11,2410,10.0,5.0,,,scared,KMEANSPPS,k=10,0.22323487423793287,1.10246411236282,0.565146939252502
beers,9,30,18.821576763485474,11,2410,10.0,5.0,,,baran,KMEANSNF,k=10,0.21700199040756554,1.291910026760608,0.49552485107842287
beers,9,30,18.821576763485474,11,2410,10.0,5.0,,,baran,GMM,"n_components=21, covariance type=spherical",0.20877173295639875,1.190827587318882,0.5242619302547677
beers,9,30,18.821576763485474,11,2410,10.0,5.0,,,baran,HC,"k=5, linkage=single, metric=euclidean",0.5388283572353685,0.2515733395032848,2.2569061799053305
beers,9,30,18.821576763485474,11,2410,10.0,5.0,,,baran,KMEANS,k=32,0.2526883490930125,1.1704559964773105,0.5535281109822513
beers,9,30,18.821576763485474,11,2410,10.0,5.0,,,baran,KMEANSPPS,k=12,0.243914652808903,1.203838761992105,0.5372953399209819
beers,9,30,18.821576763485474,11,2410,10.0,5.0,,,Unified,KMEANSNF,k=9,0.21085413478919318,1.0843566813755923,0.5665299577882911
beers,9,30,18.821576763485474,11,2410,10.0,5.0,,,Unified,GMM,"n_components=26, covariance type=spherical",0.2179779682703063,1.2065829261902554,0.5233823831688466
beers,9,30,18.821576763485474,11,2410,10.0,5.0,,,Unified,HC,"k=5, linkage=single, metric=manhattan",0.5142193382717202,0.2737484021913065,2.0836043481827162
beers,9,30,18.821576763485474,11,2410,10.0,5.0,,,Unified,KMEANS,k=25,0.2376474544472019,1.1883956235572222,0.53955903631482
beers,9,30,18.821576763485474,11,2410,10.0,5.0,,,Unified,KMEANSPPS,k=8,0.18032183291901255,1.5060667722609662,0.4221515089147003
beers,10,43,23.526970954356845,11,2410,10.0,10.0,,,mode,KMEANS,k=38,0.4659747083091603,0.7750895186285242,0.8780741318531368
beers,10,43,23.526970954356845,11,2410,10.0,10.0,,,bigdansing,KMEANSNF,k=12,0.2783061165404749,1.208722595379741,0.5528129020683228
beers,10,43,23.526970954356845,11,2410,10.0,10.0,,,bigdansing,GMM,"n_components=12, covariance type=tied",0.3174524995701714,1.0658107077512529,0.6278527056967051
beers,10,43,23.526970954356845,11,2410,10.0,10.0,,,bigdansing,HC,"k=5, linkage=single, metric=euclidean",0.5239020580704215,0.26212118192602923,2.1694656996393604
beers,10,43,23.526970954356845,11,2410,10.0,10.0,,,bigdansing,KMEANS,k=27,0.25237407575921156,1.0765342189211171,0.5906404581351095
beers,10,43,23.526970954356845,11,2410,10.0,10.0,,,bigdansing,KMEANSPPS,k=12,0.2832897482364928,1.0261660778012687,0.6288954379561518
beers,10,43,23.526970954356845,11,2410,10.0,10.0,,,boostclean,KMEANSNF,k=15,0.23849127504223083,1.3361614756394242,0.4934519060866145
beers,10,43,23.526970954356845,11,2410,10.0,10.0,,,boostclean,GMM,"n_components=8, covariance type=tied",0.29492068659825704,0.8890397057083174,0.7098649207208299
beers,10,43,23.526970954356845,11,2410,10.0,10.0,,,boostclean,HC,"k=5, linkage=single, metric=manhattan",0.52251350546062,0.25797590463691733,2.199422259713275
beers,10,43,23.526970954356845,11,2410,10.0,10.0,,,boostclean,KMEANS,k=25,0.2477992254910558,1.1045957309249181,0.5765539060781047
beers,10,43,23.526970954356845,11,2410,10.0,10.0,,,boostclean,KMEANSPPS,k=12,0.2585717345774079,1.1115142695005609,0.5791226473641105
beers,10,43,23.526970954356845,11,2410,10.0,10.0,,,holoclean,KMEANSNF,k=10,0.269253361568784,1.049169476575964,0.611194109749047
beers,10,43,23.526970954356845,11,2410,10.0,10.0,,,holoclean,GMM,"n_components=10, covariance type=tied",0.3118876460306675,0.8806588592909194,0.7237005596052379
beers,10,43,23.526970954356845,11,2410,10.0,10.0,,,holoclean,HC,"k=5, linkage=single, metric=manhattan",0.5917260633247519,0.23540783480052146,2.4198365197312293
beers,10,43,23.526970954356845,11,2410,10.0,10.0,,,holoclean,KMEANS,k=30,0.24308581357305598,1.179981381673643,0.5452784061473891
beers,10,43,23.526970954356845,11,2410,10.0,10.0,,,holoclean,KMEANSPPS,k=11,0.26196334704870733,1.321269514250005,0.5094056018807239
beers,10,43,23.526970954356845,11,2410,10.0,10.0,,,horizon,KMEANSNF,k=7,0.3982367016251451,1.0160535838665516,0.691218381696052
beers,10,43,23.526970954356845,11,2410,10.0,10.0,,,horizon,GMM,"n_components=5, covariance type=tied",0.44003894836061325,0.7905134917554976,0.8525197480082046
beers,10,43,23.526970954356845,11,2410,10.0,10.0,,,horizon,HC,"k=15, linkage=single, metric=euclidean",0.4584185614242295,0.2925866806670543,1.9381045689736105
beers,10,43,23.526970954356845,11,2410,10.0,10.0,,,horizon,KMEANS,k=25,0.2861500448556995,0.9952650246950406,0.6454537734074746
beers,10,43,23.526970954356845,11,2410,10.0,10.0,,,horizon,KMEANSPPS,k=8,0.3971146549053997,1.1087891753465007,0.6494996807127307
beers,10,43,23.526970954356845,11,2410,10.0,10.0,,,scared,KMEANSNF,k=6,0.30296911030265783,1.1845150545394436,0.5735982278174878
beers,10,43,23.526970954356845,11,2410,10.0,10.0,,,scared,GMM,"n_components=7, covariance type=tied",0.4107628821141879,0.8363906604476112,0.8031882120370748
beers,10,43,23.526970954356845,11,2410,10.0,10.0,,,scared,HC,"k=8, linkage=single, metric=manhattan",0.5042348197320753,0.32379804196311474,1.7962898111832675
beers,10,43,23.526970954356845,11,2410,10.0,10.0,,,scared,KMEANS,k=19,0.3341292643097335,0.9086030738924894,0.7173599309127516
beers,10,43,23.526970954356845,11,2410,10.0,10.0,,,scared,KMEANSPPS,k=14,0.2948274394970025,0.9444570289688187,0.6768184302475192
beers,10,43,23.526970954356845,11,2410,10.0,10.0,,,baran,KMEANSNF,k=17,0.2532662827614653,1.1565990989728498,0.5589350517350109
beers,10,43,23.526970954356845,11,2410,10.0,10.0,,,baran,GMM,"n_components=19, covariance type=spherical",0.2186587159569186,1.2221170420270957,0.518455475040588
beers,10,43,23.526970954356845,11,2410,10.0,10.0,,,baran,HC,"k=5, linkage=single, metric=manhattan",0.5635255567985774,0.23033925704427743,2.4524739564069806
beers,10,43,23.526970954356845,11,2410,10.0,10.0,,,baran,KMEANS,k=28,0.2680874281900485,1.0208328270006375,0.6238398754009613
beers,10,43,23.526970954356845,11,2410,10.0,10.0,,,baran,KMEANSPPS,k=15,0.23933181675268514,1.1328287626304652,0.5610388823808018
beers,10,43,23.526970954356845,11,2410,10.0,10.0,,,Unified,KMEANSNF,k=8,0.2912979144636328,0.9050771978057262,0.698088021227907
beers,10,43,23.526970954356845,11,2410,10.0,10.0,,,Unified,GMM,"n_components=6, covariance type=tied",0.30549184550286224,0.9081634769040815,0.7033075922258456
beers,10,43,23.526970954356845,11,2410,10.0,10.0,,,Unified,HC,"k=5, linkage=single, metric=manhattan",0.4265421039926702,0.31917394863339454,1.779814944882479
beers,10,43,23.526970954356845,11,2410,10.0,10.0,,,Unified,KMEANS,k=24,0.2905796408647085,1.1096847311373923,0.5958682468720112
beers,10,43,23.526970954356845,11,2410,10.0,10.0,,,Unified,KMEANSPPS,k=9,0.31545091356051064,1.0336073638560361,0.6414681403991788
